epoch,combined_model_1_loss,combined_model_loss,loss,val_combined_model_1_loss,val_combined_model_loss,val_loss
0,0.4227796196937561,2.9473280906677246,0.7175132036209106,0.18645675480365753,1.7233047485351562,0.3587871193885803
1,0.1309066265821457,1.6652867794036865,0.2974356412887573,0.12929923832416534,1.4798753261566162,0.2772866189479828
2,0.0992712676525116,1.4417427778244019,0.24344545602798462,0.12359219789505005,1.3032573461532593,0.2539180517196655
3,0.08724113553762436,1.3141427040100098,0.21865540742874146,0.11468791216611862,1.3635895252227783,0.25104665756225586
4,0.08036738634109497,1.2355939149856567,0.20392663776874542,0.08932279050350189,1.3967262506484985,0.22899527847766876
5,0.07527327537536621,1.181897521018982,0.1934630423784256,0.09195085614919662,1.0936176776885986,0.20131246745586395
6,0.07182769477367401,1.1332006454467773,0.18514768779277802,0.07721827179193497,1.0395020246505737,0.18116852641105652
7,0.06914930045604706,1.0895730257034302,0.1781066656112671,0.07121166586875916,1.0764110088348389,0.17885275185108185
8,0.06770604848861694,1.0513705015182495,0.17284317314624786,0.07390998303890228,1.1066800355911255,0.18457826972007751
9,0.06554916501045227,1.0282706022262573,0.1683763563632965,0.0835045650601387,0.9937000870704651,0.18287473917007446
10,0.06358636915683746,1.0001342296600342,0.1635999083518982,0.0803273469209671,0.9881370067596436,0.17914102971553802
11,0.06192317232489586,0.9809252023696899,0.16001586616039276,0.06951064616441727,0.9466138482093811,0.1641720086336136
12,0.06069781631231308,0.9590883255004883,0.15660671889781952,0.06994244456291199,0.9168177247047424,0.16162407398223877
13,0.060000333935022354,0.9396425485610962,0.15396438539028168,0.06890635937452316,1.2826473712921143,0.19717107713222504
14,0.05791711062192917,0.9254269003868103,0.15045981109142303,0.0604688823223114,0.892896831035614,0.14975863695144653
15,0.05646972358226776,0.9033653140068054,0.14680607616901398,0.05718091130256653,0.8725497722625732,0.14443610608577728
16,0.055731646716594696,0.8892802596092224,0.14465951919555664,0.057031016796827316,0.8649584054946899,0.14352679252624512
17,0.05481066554784775,0.8751763105392456,0.14232835173606873,0.06437290459871292,0.9323815703392029,0.1576111912727356
18,0.05399562045931816,0.8580158948898315,0.13979721069335938,0.05595501512289047,0.8689661026000977,0.14285153150558472
19,0.052788324654102325,0.8422482013702393,0.13701316714286804,0.061834558844566345,0.8108884692192078,0.14292345941066742
20,0.051958002150058746,0.8241981863975525,0.13437770307064056,0.06432661414146423,0.7979346513748169,0.14411991834640503
21,0.05101082846522331,0.8211079239845276,0.1331215500831604,0.05600091814994812,0.9206217527389526,0.14806300401687622
22,0.05049066245555878,0.8021547794342041,0.1307060718536377,0.05529383569955826,0.8052959442138672,0.13582342863082886
23,0.04999532178044319,0.7912167906761169,0.12911711633205414,0.05169600620865822,0.7473665475845337,0.12643268704414368
24,0.04920586198568344,0.7884401679039001,0.12804996967315674,0.05637536197900772,0.8652052283287048,0.1428958773612976
25,0.04859260842204094,0.7737858295440674,0.12597131729125977,0.06003535911440849,0.8411375880241394,0.1441490799188614
26,0.04813121259212494,0.7650250196456909,0.12463358044624329,0.05418374389410019,0.877001941204071,0.14188380539417267
27,0.04796219989657402,0.7553714513778687,0.12349934875965118,0.049921054393053055,0.8770674467086792,0.13762781023979187
28,0.046505868434906006,0.7427664995193481,0.1207825168967247,0.05189237743616104,0.720980703830719,0.1239905133843422
29,0.04633055254817009,0.7280914783477783,0.1191396415233612,0.05507148429751396,0.7437996864318848,0.12945139408111572
30,0.04616765305399895,0.7182437181472778,0.11799193173646927,0.052498843520879745,0.7273938655853271,0.1252383589744568
31,0.04548408091068268,0.7155744433403015,0.1170414537191391,0.048085492104291916,0.7147001028060913,0.11955545097589493
32,0.0451921783387661,0.7011876106262207,0.11531083285808563,0.050325822085142136,0.7641758918762207,0.12674346566200256
33,0.04481250047683716,0.6981045603752136,0.11462283879518509,0.05142754316329956,0.6870723962783813,0.12013475596904755
34,0.04398203641176224,0.6907559037208557,0.1130576804280281,0.051647789776325226,0.6859763264656067,0.12024541199207306
35,0.04407896846532822,0.6878201961517334,0.11286091804504395,0.04970874264836311,0.6940594911575317,0.11911468207836151
36,0.04387577250599861,0.6753872036933899,0.1114145815372467,0.05457631126046181,0.8273399472236633,0.1373101770877838
